id,type,conc,rawData,meanOD,cv,calConc,meanConc,bias
CAL_curve_CAL1,CAL,1500,"2.794
2.781",2.788,0.330%,"1,464.463
1,438.961","1,451.71",-3.219%
CAL_curve_CAL2,ULOQ,1000,"2.491
2.513",2.502,0.622%,"1,009.106
1,034.600","1,021.85",2.185%
CAL_curve_CAL3,CAL,750,"2.253
2.189",2.221,2.038%,"780.770
731.031",755.9,0.787%
CAL_curve_CAL4,CAL,500,"1.812
1.815",1.814,0.117%,"502.516
503.999",503.258,0.652%
CAL_curve_CAL5,CAL,250,"1.147
1.136",1.142,0.681%,"252.335
249.163",250.749,0.300%
CAL_curve_CAL6,CAL,125,"0.623
0.626",0.625,0.340%,"122.064
122.712",122.388,-2.090%
CAL_curve_CAL7,CAL,62.5,"0.328
0.320",0.324,1.746%,"61.935
60.382",61.158,-2.147%
CAL_curve_CAL8,LLOQ,25,"0.145
0.142",0.144,1.478%,"26.772
26.194",26.483,5.932%
CAL_curve_CAL9,Anchor,12.5,"0.076
0.073",0.075,2.847%,"13.241
12.635",12.938,3.503%
CAL_curve_CAL10,Zero,0,"0.016
0.015",0.016,4.562%,"--
--",--,0.000%
