id,ods,meanOd,cv,calCon,meanCalConc,df,result,status
LDS_EIS301,"0.107
0.106",0.107,0.664%,"26.942
26.682",26.812,1,26.812,Pass
LDS_EIS302,"0.100
0.102",0.101,1.400%,--,--,1,<LLOQ,Pass
LDS_EIS303,"0.098
0.095",0.097,2.198%,--,--,1,<LLOQ,Pass
LDS_EIS304,"0.282
0.276",0.279,1.521%,"71.118
69.611",70.365,1,70.365,Pass
LDS_EIS321,"2.055
2.079",2.067,0.821%,"804.989
823.809",814.399,1,814.399,Pass
LDS_EIS322,"2.048
2.092",2.07,1.503%,"799.591
834.211",816.901,1,816.901,Pass
LDS_EIS323,"2.180
2.199",2.19,0.614%,"908.740
925.846",917.293,1,917.293,Pass
LDS_EIS324,"2.059
2.111",2.085,1.764%,"808.092
849.683",828.887,1,828.887,Pass
LDS_EIS305,"0.260
0.261",0.261,0.271%,"65.595
65.846",65.721,1,65.721,Pass
LDS_EIS306,"0.256
0.251",0.254,1.395%,"64.592
63.338",63.965,1,63.965,Pass
LDS_EIS307,"0.300
0.301",0.301,0.235%,"75.647
75.899",75.773,1,75.773,Pass
LDS_EIS308,"0.277
0.287",0.282,2.507%,"69.862
72.375",71.119,1,71.119,Pass
LDS_EIS309,"0.262
0.268",0.265,1.601%,"66.097
67.602",66.85,1,66.85,Pass
LDS_EIS310,"0.121
0.119",0.12,1.179%,"30.554
30.040",30.297,1,30.297,Pass
LDS_EIS311,"0.013
0.012",0.013,5.657%,--,--,1,<LLOQ,Pass
LDS_EIS312,"1.312
1.354",1.333,2.228%,"390.171
407.548",398.859,1,398.859,Pass
LDS_EIS313,"1.306
1.283",1.295,1.256%,"387.730
378.464",383.097,1,383.097,Pass
LDS_EIS314,"1.163
1.154",1.159,0.549%,"332.362
329.046",330.704,1,330.704,Pass
LDS_EIS315,"1.364
1.373",1.369,0.465%,"411.761
415.579",413.67,1,413.67,Pass
LDS_EIS316,"1.357
1.345",1.351,0.628%,"408.808
403.781",406.295,1,406.295,Pass
LDS_EIS317,"1.346
1.321",1.334,1.326%,"404.198
393.852",399.025,1,399.025,Pass
LDS_EIS318,"0.103
0.107",0.105,2.694%,"25.903
26.942",26.422,1,26.422,RIR
LDS_EIS319,"0.014
0.013",0.014,5.238%,--,--,1,<LLOQ,Pass
LDS_EIS320,"2.057
2.097",2.077,1.362%,"806.539
838.251",822.395,1,822.395,Pass
