id,ods,meanOd,cv,calCon,meanCalConc,df,result,status
LDS_EIS398,"0.154
0.165",0.160,4.877%,"25.072
26.963",26.018,1,26.018,RIR
LDS_EIS399,"0.168
0.172",0.170,1.664%,"27.477
28.163",27.820,1,27.820,Pass
LDS_EIS400,"0.168
0.149",0.159,8.476%,--,--,1,<LLOQ,Pass
LDS_EIS401,"0.168
0.168",0.168,0.000%,"27.477
27.477",27.477,1,27.477,Pass
LDS_EIS333,"0.171
0.169",0.170,0.832%,"27.992
27.649",27.820,1,27.820,Pass
LDS_EIS334,"0.157
0.152",0.155,2.288%,--,--,1,<LLOQ,Pass
LDS_EIS335,"0.154
0.158",0.156,1.813%,--,--,1,<LLOQ,Pass
LDS_EIS345,"0.159
0.155",0.157,1.802%,--,--,1,<LLOQ,Pass
LDS_EIS362,"0.150
0.149",0.150,0.473%,--,--,1,<LLOQ,Pass
LDS_EIS363,"0.181
0.180",0.181,0.392%,"29.704
29.533",29.618,1,29.618,Pass
LDS_EIS364,"2.377
2.297",2.337,2.421%,"745.900
688.402",717.151,1,717.151,Pass
LDS_EIS365,"2.363
2.335",2.349,0.843%,"735.409
714.987",725.198,1,725.198,Pass
LDS_EIS382,"2.354
2.323",2.339,0.937%,"728.765
706.455",717.610,1,717.610,Pass
LDS_EIS383,"2.390
2.372",2.381,0.535%,"755.814
742.131",748.973,1,748.973,Pass
LDS_EIS384,"0.017
0.017",0.017,0.000%,--,--,1,<LLOQ,Pass
LDS_EIS385,"0.017
0.017",0.017,0.000%,--,--,1,<LLOQ,Pass
LDS_EIS402,"2.353
2.397",2.375,1.310%,"728.031
761.224",744.627,1,744.627,Pass
