id,ods,meanOd,cv,calCon,meanCalConc,df,result,status
LDS_EIS350,"0.138
0.132",0.135,3.143%,--,--,1,<LLOQ,Pass
LDS_EIS351,"0.153
0.148",0.151,2.349%,"29.054
28.163",28.609,1,28.609,Pass
LDS_EIS352,"0.134
0.133",0.134,0.530%,--,--,1,<LLOQ,Pass
LDS_EIS353,"0.413
0.423",0.418,1.692%,"74.090
75.836",74.963,1,74.963,Pass
LDS_EIS370,"0.362
0.368",0.365,1.162%,"65.241
66.278",65.760,1,65.76,Pass
LDS_EIS371,"0.375
0.381",0.378,1.122%,"67.489
68.529",68.009,1,68.009,Pass
LDS_EIS372,"0.403
0.398",0.401,0.883%,"72.349
71.479",71.914,1,71.914,Pass
LDS_EIS373,"0.373
0.383",0.378,1.871%,"67.143
68.875",68.009,1,68.009,Pass
LDS_EIS390,"0.355
0.358",0.357,0.595%,"64.032
64.550",64.291,1,64.291,Pass
LDS_EIS391,"0.010
0.010",0.010,0.000%,--,--,1,<LLOQ,Pass
LDS_EIS392,"0.012
0.009",0.010,20.203%,--,--,1,--,RCV
LDS_EIS393,"2.875
2.899",2.887,0.588%,--,--,1,>ULOQ,RUDF
LDS_EIS328,"2.484
2.493",2.489,0.256%,"991.333
1,004.203",997.768,1,997.768,Pass
LDS_EIS329,"2.503
2.494",2.499,0.255%,"1,018.829
1,005.650",1012.239,1,1012.239,Pass
LDS_EIS330,"1.580
1.568",1.574,0.539%,"355.196
350.852",353.024,1,353.024,Pass
LDS_EIS331,"1.571
1.561",1.566,0.452%,"351.933
348.341",350.137,1,350.137,Pass
LDS_EIS343,"1.550
1.515",1.533,1.615%,"344.431
332.259",338.345,1,338.345,Pass
LDS_EIS344,"0.145
0.149",0.147,1.924%,"27.627
28.342",27.985,1,27.985,Pass
LDS_EIS354,"0.010
0.011",0.010,6.734%,--,--,1,<LLOQ,Pass
LDS_EIS355,"2.340
2.292",2.316,1.466%,"816.785
769.096",792.941,1,792.941,Pass
LDS_EIS356,"2.204
2.170",2.187,1.099%,"691.816
664.948",678.382,1,678.382,Pass
LDS_EIS357,"2.177
2.142",2.160,1.146%,"670.357
643.913",657.135,1,657.135,Pass
