id,ods,meanOd,cv,calCon,meanCalConc,df,result,status
LDS_EIS374,"0.155
0.155",0.155,0.000%,"30.766
30.766",30.766,1,30.766,Pass
LDS_EIS375,"0.151
0.155",0.153,1.849%,"30.045
30.766",30.406,1,30.406,Pass
LDS_EIS376,"0.150
0.142",0.146,3.875%,"29.865
28.413",29.139,1,29.139,Pass
LDS_EIS377,"0.463
0.465",0.464,0.305%,"83.117
83.453",83.285,1,83.285,Pass
LDS_EIS394,"0.459
0.451",0.455,1.243%,"82.444
81.101",81.772,1,81.772,Pass
LDS_EIS395,"0.428
0.408",0.418,3.383%,"77.243
73.893",75.568,1,75.568,Pass
LDS_EIS396,"0.439
0.115",0.277,82.709%,--,--,1,--,RCV
LDS_EIS397,"0.425
0.425",0.425,0.000%,"76.740
76.740",76.740,1,76.740,Pass
LDS_EIS332,"0.394
0.417",0.405,4.011%,"71.550
75.400",73.475,1,73.475,Pass
LDS_EIS358,"2.008
0.010",1.009,140.020%,--,--,1,--,RCV
LDS_EIS359,"0.009
0.010",0.010,7.443%,--,--,1,<LLOQ,Pass
LDS_EIS360,"1.817
1.835",1.826,0.697%,"389.724
395.886",392.805,1,392.805,Pass
LDS_EIS361,"1.822
1.830",1.826,0.310%,"391.426
394.165",392.796,1,392.796,Pass
LDS_EIS378,"1.752
1.777",1.765,1.002%,"368.236
376.363",372.300,1,372.300,Pass
LDS_EIS379,"1.843
1.833",1.838,0.385%,"398.656
395.197",396.926,1,396.926,Pass
LDS_EIS380,"1.838
1.835",1.837,0.116%,"396.923
395.886",396.404,1,396.404,Pass
LDS_EIS381,"1.750
1.770",1.760,0.804%,"367.594
374.071",370.832,1,370.832,Pass
